arm,target,seed,ed2,sw1,coverage,mass_err,event_time,censored,kernel_pairs,diverged
step-ceil-0.25,V-2d-K4-wide,4,0.015794679650058763,0.09342032583881804,1.0,0.04166666666666666,3,0,2150400,0
step-ceil-0.25,V-2d-K4-wide,5,0.013376721745475662,0.08164952779343843,1.0,0.08333333333333337,3,0,2150400,0
step-taumult-0.1,V-1d-K3,0,0.0053933592320984935,0.07184151007364403,1.0,0.12499999999999994,116,0,2150400,0
step-taumult-0.1,V-1d-K3,1,0.005467360975726754,0.06713772066832757,1.0,0.08333333333333331,116,0,2150400,0
step-taumult-0.1,V-1d-K3,2,0.006768920498561926,0.07663432522084522,1.0,0.12499999999999994,115,0,2150400,0
step-taumult-0.1,V-1d-K3,3,0.006162070199690839,0.07302793980473765,1.0,0.12499999999999994,131,0,2150400,0
step-taumult-0.1,V-1d-K3,4,0.004586012121601257,0.061818441462576,1.0,0.041666666666666685,123,0,2150400,0
step-taumult-0.1,V-1d-K3,5,0.005405369401245141,0.06792222758867629,1.0,0.08333333333333331,125,0,2150400,0
step-taumult-0.1,V-2d-K5,0,0.006669980493001493,0.049868578212628106,1.0,0.05000000000000002,82,0,2150400,0
step-taumult-0.1,V-2d-K5,1,0.00579959988253087,0.04708498928895126,1.0,0.09166666666666667,76,0,2150400,0
step-taumult-0.1,V-2d-K5,2,0.006808249920419396,0.05172972959547624,1.0,0.09166666666666667,80,0,2150400,0
step-taumult-0.1,V-2d-K5,3,0.0065416348100379995,0.049394043893720006,1.0,0.05000000000000002,85,0,2150400,0
step-taumult-0.1,V-2d-K5,4,0.006222796814126852,0.048292772130653465,1.0,0.05000000000000002,90,0,2150400,0
step-taumult-0.1,V-2d-K5,5,0.006362231382123884,0.04872080553698122,1.0,0.09166666666666667,80,0,2150400,0
step-taumult-0.1,V-2d-K4-uneq,0,0.0058587611867150224,0.041456124808320546,1.0,0.033333333333333395,88,0,2150400,0
step-taumult-0.1,V-2d-K4-uneq,1,0.004888260318298365,0.037602986673945384,1.0,0.07500000000000002,80,0,2150400,0
step-taumult-0.1,V-2d-K4-uneq,2,0.005002817248278668,0.03670148061476573,1.0,0.049999999999999975,86,0,2150400,0
step-taumult-0.1,V-2d-K4-uneq,3,0.005516010123029047,0.04142939102085997,1.0,0.10000000000000002,84,0,2150400,0
step-taumult-0.1,V-2d-K4-uneq,4,0.005343272361311158,0.040784163836753165,1.0,0.0666666666666667,89,0,2150400,0
step-taumult-0.1,V-2d-K4-uneq,5,0.0046139920692906955,0.03583316518467965,1.0,0.04166666666666673,79,0,2150400,0
step-taumult-0.1,V-3d-K4,0,0.010107196409753993,0.044690213823287216,1.0,0.08333333333333331,95,0,2150400,0
step-taumult-0.1,V-3d-K4,1,0.009207903136170037,0.04118202436856111,1.0,0.08333333333333331,87,0,2150400,0
step-taumult-0.1,V-3d-K4,2,0.00852983493573889,0.04032509787022494,1.0,0.04166666666666666,72,0,2150400,0
step-taumult-0.1,V-3d-K4,3,0.009387044388767807,0.044933217475974986,1.0,0.04166666666666666,83,0,2150400,0
step-taumult-0.1,V-3d-K4,4,0.009144797336098298,0.04190991736178356,1.0,0.08333333333333331,77,0,2150400,0
step-taumult-0.1,V-3d-K4,5,0.00895349889589403,0.041892872746046965,1.0,0.08333333333333329,89,0,2150400,0
step-taumult-0.1,V-2d-K4-wide,0,0.005560105644662139,0.04248541362131056,1.0,0.0,71,0,2150400,0
step-taumult-0.1,V-2d-K4-wide,1,0.00508800911409546,0.039874195764136706,1.0,0.0,59,0,2150400,0
step-taumult-0.1,V-2d-K4-wide,2,0.005848965910308257,0.04598597669201662,1.0,0.0,67,0,2150400,0
step-taumult-0.1,V-2d-K4-wide,3,0.005819450172054985,0.04264880064683268,1.0,0.08333333333333331,70,0,2150400,0
step-taumult-0.1,V-2d-K4-wide,4,0.006250223544008948,0.04558264454302441,1.0,0.04166666666666666,75,0,2150400,0
step-taumult-0.1,V-2d-K4-wide,5,0.005286340702312264,0.04183646448321154,1.0,0.0,70,0,2150400,0
step-taumult-0.5,V-1d-K3,0,0.0018764061566396428,0.04034930447782455,1.0,0.0,23,0,2150400,0
step-taumult-0.5,V-1d-K3,1,0.0017472848041686362,0.039499613635433174,1.0,0.0,24,0,2150400,0
step-taumult-0.5,V-1d-K3,2,0.002234835827493842,0.04609057269906694,1.0,0.0,23,0,2150400,0
step-taumult-0.5,V-1d-K3,3,0.001942055584534752,0.04120846956235848,1.0,0.0,27,0,2150400,0
step-taumult-0.5,V-1d-K3,4,0.0018350897597582128,0.041476809662882384,1.0,0.0,25,0,2150400,0
step-taumult-0.5,V-1d-K3,5,0.001860267007760652,0.039075814711093906,1.0,0.0,27,0,2150400,0
step-taumult-0.5,V-2d-K5,0,0.007996016074891754,0.056355593046026546,1.0,0.05000000000000002,17,0,2150400,0
step-taumult-0.5,V-2d-K5,1,0.006802790857887375,0.05071259310047445,1.0,0.07500000000000001,16,0,2150400,0
step-taumult-0.5,V-2d-K5,2,0.007714249150012176,0.05405396858273623,1.0,0.05000000000000002,17,0,2150400,0
step-taumult-0.5,V-2d-K5,3,0.00802169344258652,0.05767114580536334,1.0,0.05000000000000002,18,0,2150400,0
step-taumult-0.5,V-2d-K5,4,0.007238479879918991,0.05480623909917011,1.0,0.05000000000000002,20,0,2150400,0
step-taumult-0.5,V-2d-K5,5,0.007002508247749617,0.05109203360275417,1.0,0.05000000000000002,17,0,2150400,0
step-taumult-0.5,V-2d-K4-uneq,0,0.00604174553225123,0.04286053930356013,1.0,0.02500000000000001,18,0,2150400,0
step-taumult-0.5,V-2d-K4-uneq,1,0.00551731997168492,0.03784026476697252,1.0,0.06666666666666665,16,0,2150400,0
step-taumult-0.5,V-2d-K4-uneq,2,0.0058378054741135,0.04160596089270557,1.0,0.05000000000000002,17,0,2150400,0
step-taumult-0.5,V-2d-K4-uneq,3,0.006008614779257959,0.041355486467853975,1.0,0.06666666666666664,17,0,2150400,0
step-taumult-0.5,V-2d-K4-uneq,4,0.0053830981058722305,0.03920522254782756,1.0,0.05000000000000002,18,0,2150400,0
step-taumult-0.5,V-2d-K4-uneq,5,0.005557948660414702,0.0407403714434663,1.0,0.06666666666666665,16,0,2150400,0
step-taumult-0.5,V-3d-K4,0,0.010792136692653997,0.04823618397250281,1.0,0.0,20,0,2150400,0
step-taumult-0.5,V-3d-K4,1,0.011112695132450945,0.04826167959290141,1.0,0.08333333333333337,18,0,2150400,0
step-taumult-0.5,V-3d-K4,2,0.012008432724853524,0.05299044905706851,1.0,0.08333333333333337,15,0,2150400,0
step-taumult-0.5,V-3d-K4,3,0.011970458764176684,0.052955908477241465,1.0,0.0,17,0,2150400,0
step-taumult-0.5,V-3d-K4,4,0.012090522861443409,0.0519218053580022,1.0,0.04166666666666666,16,0,2150400,0
