cell,family,seed,base_ed2,mod_ed2,base_sw1,mod_sw1,base_time,base_cens,mod_time,mod_cens,base_pairs,mod_pairs,base_div,mod_div
H-2d-K6-sep/missing,gauss,7,0.009202467155868366,0.0099286877769309,0.06619440213775736,0.07029330609493674,73,0,80,0,2150400,2150400,0,0
H-2d-K6-sep/missing,gauss,8,0.007925559034625662,0.008535710075560754,0.056980702804520535,0.061440585038538255,56,0,64,0,2150400,2150400,0,0
H-2d-K6-sep/missing,gauss,9,0.006720746769334429,0.0031886615697087617,0.05299109775367139,0.04014590357955564,55,0,71,0,2150400,2150400,0,0
H-2d-K6-sep/missing,gauss,10,0.007588544010498133,0.007450637725606946,0.05629471792847364,0.055603203798112066,55,0,60,0,2150400,2150400,0,0
H-2d-K6-sep/missing,gauss,11,0.007220376927306038,0.00733080222462279,0.05408795700105147,0.05535761547663595,59,0,65,0,2150400,2150400,0,0
H-2d-K6-sep/missing,gauss,12,0.006197603325541534,0.005831457881418256,0.04776498177695615,0.046629070390456134,50,0,55,0,2150400,2150400,0,0
H-2d-K6-sep/missing,gauss,13,0.007051795521582971,0.006980407215263051,0.05231748138184826,0.05234869492880327,52,0,55,0,2150400,2150400,0,0
H-2d-K6-sep/missing,gauss,14,0.007017668108457276,0.004251077570864847,0.053507277883183976,0.04188832198862617,54,0,67,0,2150400,2150400,0,0
H-2d-K6-sep/missing,gauss,15,0.007650342870326288,0.007630821803161325,0.05676332871480743,0.056367369665647565,59,0,65,0,2150400,2150400,0,0
H-2d-K6-sep/missing,gauss,16,0.00759379445732522,0.007792821342171408,0.057170251244832625,0.05852850945293597,59,0,64,0,2150400,2150400,0,0
H-2d-K6-sep/missing,gauss,17,0.008241648333010332,0.00833642202723972,0.059577518807998615,0.06101398382023255,55,0,62,0,2150400,2150400,0,0
H-2d-K6-sep/missing,gauss,18,0.007582971844725339,0.008053840778025068,0.057438002351153324,0.059938570753318036,50,0,55,0,2150400,2150400,0,0
H-2d-K6-sep/missing,gauss,19,0.007821848269495835,0.007842530759468946,0.057003423655716284,0.05720555554085628,56,0,62,0,2150400,2150400,0,0
H-2d-K6-sep/covered,gauss,0,0.006134520326701143,0.004303755899055517,0.04959133297247481,0.0420826878449474,1,0,1,0,2150400,2150400,0,0
H-2d-K6-sep/covered,gauss,1,0.00780665008540482,0.008675049307014238,0.05658701342903535,0.06065131337595713,1,0,1,0,2150400,2150400,0,0
H-2d-K6-sep/covered,gauss,2,0.010798348605269847,0.012213117695255349,0.07093762762178024,0.07599833817192932,1,0,1,0,2150400,2150400,0,0
H-2d-K6-sep/covered,gauss,3,0.006246189051407169,0.006336761289869042,0.049364003304812755,0.05055472484631019,1,0,1,0,2150400,2150400,0,0
H-2d-K6-sep/covered,gauss,4,0.007531754834227522,0.007611498878211664,0.057673193620891294,0.057804302788461506,1,0,1,0,2150400,2150400,0,0
H-2d-K6-sep/covered,gauss,5,0.008723583564403059,0.009552715159219849,0.0607433832660436,0.06486264813517055,1,0,1,0,2150400,2150400,0,0
H-2d-K6-sep/covered,gauss,6,0.009823017504018372,0.014127588814493386,0.06581033265279491,0.08194590098748633,1,0,1,0,2150400,2150400,0,0
H-2d-K6-sep/covered,gauss,7,0.00639922833161366,0.006423512473678672,0.04889897364669747,0.04960812224706879,1,0,1,0,2150400,2150400,0,0
H-2d-K6-sep/covered,gauss,8,0.012990700813177103,0.01810814988798315,0.08015132158552539,0.09880964197417552,17,0,24,0,2150400,2150400,0,0
H-2d-K6-sep/covered,gauss,9,0.008272831973118677,0.009945601180271435,0.06045364565297685,0.06878951944150925,1,0,1,0,2150400,2150400,0,0
H-2d-K6-sep/covered,gauss,10,0.006603944096769787,0.006544206710207279,0.051801846382066336,0.05167663013226054,1,0,1,0,2150400,2150400,0,0
H-2d-K6-sep/covered,gauss,11,0.008814087092476885,0.010684217310499289,0.06454702967705113,0.07275091829592194,1,0,1,0,2150400,2150400,0,0
H-2d-K6-sep/covered,gauss,12,0.011755575248619365,0.015624111755442538,0.07725638381542965,0.09214995580130349,1,0,1,0,2150400,2150400,0,0
H-2d-K6-sep/covered,gauss,13,0.007692523557188968,0.007952442776820945,0.05730940597626975,0.05892497895247921,1,0,1,0,2150400,2150400,0,0
H-2d-K6-sep/covered,gauss,14,0.0074937439452122945,0.006052721968190955,0.05599404935659494,0.05501296548240614,1,0,1,0,2150400,2150400,0,0
H-2d-K6-sep/covered,gauss,15,0.01080663441884222,0.017513951891806157,0.06519635957960634,0.08488826679494711,1,0,1,0,2150400,2150400,0,0
H-2d-K6-sep/covered,gauss,16,0.0062978897268375356,0.006659065796641217,0.05042003229551894,0.052050851022961836,1,0,1,0,2150400,2150400,0,0
H-2d-K6-sep/covered,gauss,17,0.009022648104406006,0.010866324069229272,0.060852976634461896,0.06774395057468889,1,0,1,0,2150400,2150400,0,0
H-2d-K6-sep/covered,gauss,18,0.005383431431059904,0.005275915585851498,0.044697962432948095,0.044984296931701424,1,0,1,0,2150400,2150400,0,0
H-2d-K6-sep/covered,gauss,19,0.00652001664660995,0.007091784199634077,0.051243197188559075,0.05363448843499401,1,0,1,0,2150400,2150400,0,0
H-2d-K3-overlap/missing,gauss,0,0.005998601283305205,0.006655855140829892,0.04357097150027956,0.04651685900119948,44,0,36,0,2150400,2150400,0,0
H-2d-K3-overlap/missing,gauss,1,0.006008848553102797,0.006245467787672987,0.0452208248902422,0.047095779616041104,39,0,31,0,2150400,2150400,0,0
H-2d-K3-overlap/missing,gauss,2,0.006541197835258417,0.006925636146306924,0.04589110008897164,0.04760991854756106,36,0,28,0,2150400,2150400,0,0
H-2d-K3-overlap/missing,gauss,3,0.005525616985156412,0.0062841543250741205,0.04402474639961174,0.04809250281732142,48,0,39,0,2150400,2150400,0,0
H-2d-K3-overlap/missing,gauss,4,0.005874185783108499,0.006146609986836471,0.043617689573914875,0.04505006036507956,43,0,34,0,2150400,2150400,0,0
H-2d-K3-overlap/missing,gauss,5,0.006234170717608678,0.0067287112022854645,0.04354919993850235,0.046273210121452954,40,0,33,0,2150400,2150400,0,0
H-2d-K3-overlap/missing,gauss,6,0.00643439090682818,0.006656391218972657,0.04721520393957402,0.04913725376238953,41,0,33,0,2150400,2150400,0,0
H-2d-K3-overlap/missing,gauss,7,0.006797593548897196,0.007716511360299605,0.04844898226094418,0.053585516353465514,65,0,52,0,2150400,2150400,0,0
H-2d-K3-overlap/missing,gauss,8,0.006643788326165523,0.007291553051935629,0.04719192471840669,0.05136452015599385,37,0,29,0,2150400,2150400,0,0
H-2d-K3-overlap/missing,gauss,9,0.005600467247489305,0.006113258626286977,0.04191063179567122,0.04465826119123978,43,0,35,0,2150400,2150400,0,0
H-2d-K3-overlap/missing,gauss,10,0.006061743439428002,0.0064656282948286625,0.044489385467665676,0.047031479729622794,40,0,31,0,2150400,2150400,0,0
H-2d-K3-overlap/missing,gauss,11,0.006259099489676845,0.007104340769974793,0.04650907034171083,0.051237497111040656,46,0,37,0,2150400,2150400,0,0
H-2d-K3-overlap/missing,gauss,12,0.006440795140447153,0.007125144273424477,0.045980789305438724,0.05050919400552981,28,0,22,0,2150400,2150400,0,0
H-2d-K3-overlap/missing,gauss,13,0.0057095913054753256,0.005887462612527039,0.044167583036991497,0.04510919204487549,34,0,27,0,2150400,2150400,0,0
H-2d-K3-overlap/missing,gauss,14,0.005733745711290372,0.00635587970051843,0.04073461609872774,0.04470127285776029,37,0,29,0,2150400,2150400,0,0
H-2d-K3-overlap/missing,gauss,15,0.00594598643251365,0.006719066621522329,0.043601354227675304,0.04743099040289891,45,0,36,0,2150400,2150400,0,0
H-2d-K3-overlap/missing,gauss,16,0.005799824990815661,0.006417927763426756,0.0417559505772203,0.04481278464025295,42,0,33,0,2150400,2150400,0,0
H-2d-K3-overlap/missing,gauss,17,0.006425769821642002,0.0070681694518358595,0.04757710999496293,0.05167781353514856,35,0,27,0,2150400,2150400,0,0
H-2d-K3-overlap/missing,gauss,18,0.0053641952973720874,0.005874932959219259,0.04130415053800767,0.04435882496573934,33,0,25,0,2150400,2150400,0,0
H-2d-K3-overlap/missing,gauss,19,0.006512396073844129,0.007135606928630023,0.045638394567155724,0.04795947813325825,44,0,35,0,2150400,2150400,0,0
H-2d-K3-overlap/covered,gauss,0,0.007813142215683855,0.008072517231575982,0.05328951455081353,0.055355324510250735,1,0,1,0,2150400,2150400,0,0
H-2d-K3-overlap/covered,gauss,1,0.006675014550725167,0.006830185896814167,0.04831781420603232,0.04988083095177251,1,0,1,0,2150400,2150400,0,0
H-2d-K3-overlap/covered,gauss,2,0.006618027804015214,0.0065165359506192955,0.04584299495840907,0.04476424653757295,1,0,1,0,2150400,2150400,0,0
H-2d-K3-overlap/covered,gauss,3,0.007026819702897424,0.007280512520163707,0.0505538859093159,0.052561740620527826,1,0,1,0,2150400,2150400,0,0
H-2d-K3-overlap/covered,gauss,4,0.005633056715539708,0.005768512418917404,0.04083881055223619,0.04117009686599308,1,0,1,0,2150400,2150400,0,0
H-2d-K3-overlap/covered,gauss,5,0.006841990119704877,0.006990171165173531,0.04733572721683531,0.047846397852275055,1,0,1,0,2150400,2150400,0,0
H-2d-K3-overlap/covered,gauss,6,0.007538645647813813,0.0071614979354007735,0.05189244978105816,0.05017928004660744,1,0,1,0,2150400,2150400,0,0
H-2d-K3-overlap/covered,gauss,7,0.0074958751758179565,0.007818882332549681,0.05277199152773208,0.05502589443034145,1,0,1,0,2150400,2150400,0,0
H-2d-K3-overlap/covered,gauss,8,0.00720474219512901,0.007712003506228693,0.050398618980963296,0.05306444862728974,1,0,1,0,2150400,2150400,0,0
H-2d-K3-overlap/covered,gauss,9,0.006882657476869114,0.006764746679250533,0.050274743670684234,0.05034663429197744,1,0,1,0,2150400,2150400,0,0
H-2d-K3-overlap/covered,gauss,10,0.006708196331736693,0.006655568789242339,0.048386150666439795,0.04783438984047547,1,0,1,0,2150400,2150400,0,0
H-2d-K3-overlap/covered,gauss,11,0.0070042091137431095,0.007497453086695249,0.04912893763052861,0.05082308765375354,1,0,1,0,2150400,2150400,0,0
H-2d-K3-overlap/covered,gauss,12,0.007631819024551789,0.007840887441931454,0.05203861625495274,0.05330794611987088,1,0,1,0,2150400,2150400,0,0
H-2d-K3-overlap/covered,gauss,13,0.0067498111915224035,0.006369339241214633,0.048613422028074414,0.04687195497641259,1,0,1,0,2150400,2150400,0,0
H-2d-K3-overlap/covered,gauss,14,0.008321990119955935,0.007995532593762955,0.058245676533665684,0.05667677614091492,1,0,1,0,2150400,2150400,0,0
H-2d-K3-overlap/covered,gauss,15,0.0068606418634405975,0.007341351628813331,0.048292076941428605,0.05084285975111898,1,0,1,0,2150400,2150400,0,0
H-2d-K3-overlap/covered,gauss,16,0.006380679548525614,0.006328818228717892,0.04539303315368866,0.04486318471619007,1,0,1,0,2150400,2150400,0,0
H-2d-K3-overlap/covered,gauss,17,0.007448242968464247,0.007282171928924996,0.053002231440368926,0.05267321673994696,1,0,1,0,2150400,2150400,0,0
H-2d-K3-overlap/covered,gauss,18,0.0061446498580554065,0.006292728196367281,0.0443072624995853,0.045250178666169996,1,0,1,0,2150400,2150400,0,0
H-2d-K3-overlap/covered,gauss,19,0.007107288156908864,0.00714769305173546,0.05000742281473463,0.05108493390213607,1,0,1,0,2150400,2150400,0,0
H-2d-K4-hetero/missing,gauss,0,0.005729567923647427,0.006305777419925884,0.04296555694220851,0.04550181085819643,51,0,47,0,2150400,2150400,0,0
H-2d-K4-hetero/missing,gauss,1,0.006098816938394314,0.0067564420295215255,0.04552846128121289,0.0488123339634446,45,0,42,0,2150400,2150400,0,0
H-2d-K4-hetero/missing,gauss,2,0.005823650611616604,0.006340594345464967,0.04272312903161403,0.04436063517368148,40,0,35,0,2150400,2150400,0,0
H-2d-K4-hetero/missing,gauss,3,0.006126368907800495,0.006881959373325475,0.04467624472317859,0.04801831573231737,51,0,47,0,2150400,2150400,0,0
H-2d-K4-hetero/missing,gauss,4,0.0057585318833476284,0.006293395188284756,0.04316502060844776,0.04557122361529918,50,0,46,0,2150400,2150400,0,0
