arm,kind,target,family,init,cell,seed,planned_steps,completed_steps,maximum_training_batch,large_batch_updates,ordinary_batch_updates,knot_count,prior_batches,diagnostic_target_samples,diagnostic_use_large_batch,diagnostic_min_expected_count,tail_mass,wall_seconds,generator_example_evals,unique_latent_samples,target_samples,kernel_pairs,sort_work,stored_scalars,ed2,sw1,w2_quantile_rmse,weighted_reach,mass_l1,event_time,censored,diverged,tau,budget,virtual_batch,warm_fraction,pulse_period,noise_mix,diagnostic_gap_count,diagnostic_max_gap_ratio,generator_forward_calls,selector_calls,selector_kernel_pairs,selector_example_evals,tau_counts
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,far,PQTC-F01-unequal-translated-K6/far,10,1200,1200,,,,,,4096,1,5.5,,5.0253532999777235,1766400,906240,906240,11796480,17203200.0,,0.03655289264296302,0.28312870537989937,,0.9600000000000001,0.12355468750000001,500,0,0,0.5,update,1024,0.7,0,0.0,5,2229.0046739214017,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,far,PQTC-F01-unequal-translated-K6/far,11,1200,1200,,,,,,4096,1,5.0,,5.448617100017145,1766400,906240,906240,11796480,17203200.0,,0.03998985508640951,0.2971723152923869,,0.9600000000000001,0.15107421875000002,500,0,0,0.5,update,1024,0.7,0,0.0,5,2195.3820103883018,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,far,PQTC-F01-unequal-translated-K6/far,12,1200,1200,,,,,,4096,1,4.9375,,5.10011949998443,1766400,906240,906240,11796480,17203200.0,,0.03755481234316438,0.2905438805323962,,0.9600000000000001,0.11335937499999996,500,0,0,0.5,update,1024,0.7,0,0.0,5,2222.49199413886,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,far,PQTC-F01-unequal-translated-K6/far,13,1200,1200,,,,,,4096,1,5.6875,,5.046461199992336,1766400,906240,906240,11796480,17203200.0,,0.03126684707538141,0.28953169250063404,,0.9600000000000001,0.1450390625,600,0,0,0.5,update,1024,0.7,0,0.0,5,2166.0351188012073,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,far,PQTC-F01-unequal-translated-K6/far,14,1200,1200,,,,,,4096,1,6.0,,5.1256738000083715,1766400,906240,906240,11796480,17203200.0,,0.036337280616101975,0.289529918189045,,0.9600000000000001,0.16212890625,450,0,0,0.5,update,1024,0.7,0,0.0,5,2344.4476102819362,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,far,PQTC-F01-unequal-translated-K6/far,15,1200,1200,,,,,,4096,1,5.875,,5.554706800001441,1766400,906240,906240,11796480,17203200.0,,0.05918429024661309,0.2918197573063615,,0.9600000000000001,0.17482421875,550,0,0,0.5,update,1024,0.7,0,0.0,5,2386.3085664012506,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,far,PQTC-F01-unequal-translated-K6/far,16,1200,1200,,,,,,4096,1,6.0,,5.273216600005981,1766400,906240,906240,11796480,17203200.0,,0.0402792206476712,0.29472186473539774,,0.9600000000000001,0.146015625,500,0,0,0.5,update,1024,0.7,0,0.0,5,2219.550509054152,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,far,PQTC-F01-unequal-translated-K6/far,17,1200,1200,,,,,,4096,1,5.5,,4.839920500002336,1766400,906240,906240,11796480,17203200.0,,0.04085931915943153,0.2919420781717103,,0.9600000000000001,0.1489453125,450,0,0,0.5,update,1024,0.7,0,0.0,5,2305.8471696662673,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,far,PQTC-F01-unequal-translated-K6/far,18,1200,1200,,,,,,4096,1,5.9375,,5.289629799983231,1766400,906240,906240,11796480,17203200.0,,0.03698874683535136,0.2812327684141822,,0.9600000000000001,0.13919921875,550,0,0,0.5,update,1024,0.7,0,0.0,5,2223.4972235879254,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,far,PQTC-F01-unequal-translated-K6/far,19,1200,1200,,,,,,4096,1,5.4375,,4.958867500012275,1766400,906240,906240,11796480,17203200.0,,0.03902615983566271,0.30052578063043045,,0.9600000000000001,0.17482421875,500,0,0,0.5,update,1024,0.7,0,0.0,5,2218.3127897589998,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
