arm,target,family,dimension,init,cell,seed,ed2,sw1,mode_coverage,mass_error,support_coverage,residual,event_time,censored,diverged,degenerate_rows,training_kernel_pairs,total_kernel_pairs,generator_forwards,wall_seconds,particle_spread,spread_ratio,tau,eta,sigma_ratio,sigma,gain,crossfit,mask,norm_clip,pq_p10,pq_median,delta_norm_median,ess_pos_median,ess_neg_median,field_norm_median,self_leverage_mean
abc,NCJT-spiral-21,spiral,2,concentrated,NCJT-spiral-21/concentrated,4,0.00973678736302519,0.05956309151395874,nan,nan,0.71875,0.09325302849836746,90,0,0,0,2150400,2155776,0,0.23182879999512807,0.8713316582678804,1.2132941214194164,0.35,0.0525,0.0,0.0,abc,0,1,2.0,0.18541253080602269,0.5555243103894394,0.06870162922004289,29.516065183522812,22.74835433847244,0.06923281936904013,nan
abc,NCJT-spiral-21,spiral,2,concentrated,NCJT-spiral-21/concentrated,5,0.007995235834005188,0.052741412805032806,nan,nan,0.7119140625,0.0644775750466914,84,0,0,0,2150400,2155776,0,0.22311940000508912,0.8616786735719907,1.165726261595117,0.35,0.0525,0.0,0.0,abc,0,1,2.0,0.2055091573142193,0.5262887548978998,0.04231700500106213,29.26216808407086,21.75252667573751,0.040914321187080785,nan
normalized-crossfit,NCJT-spiral-21,spiral,2,concentrated,NCJT-spiral-21/concentrated,0,0.003838259100414909,0.038418025534385045,nan,nan,0.8349609375,0.1376840117147553,92,0,0,0,2150400,2155776,0,0.21227770000405144,0.7215163637785604,1.0015116692721806,0.35,0.0525,0.0,0.0,constant,1,0,2.0,0.37201162511774705,0.5461237763051295,0.10030511708994366,30.431718013884332,23.058005590639244,0.10030511708994366,nan
normalized-crossfit,NCJT-spiral-21,spiral,2,concentrated,NCJT-spiral-21/concentrated,1,0.002995455442798667,0.033680136504517504,nan,nan,0.859375,0.2337172398361249,93,0,0,0,2150400,2155776,0,0.2253878000046825,0.7077353819008985,0.9964036184362155,0.35,0.0525,0.0,0.0,constant,1,0,2.0,0.2659801070873979,0.5775648359947121,0.17596513068731695,36.07202878640829,22.265897229008203,0.17596513068731695,nan
normalized-crossfit,NCJT-spiral-21,spiral,2,concentrated,NCJT-spiral-21/concentrated,2,0.0026954952242959074,0.030324292798793083,nan,nan,0.9033203125,0.14822807591775403,109,0,0,0,2150400,2155776,0,0.2229088000021875,0.707597968010171,1.0044966252384557,0.35,0.0525,0.0,0.0,constant,1,0,2.0,0.38861470669516207,0.518590726624238,0.1255195021863592,31.863854084418037,23.413107419909288,0.1255195021863592,nan
normalized-crossfit,NCJT-spiral-21,spiral,2,concentrated,NCJT-spiral-21/concentrated,3,0.0036057806787628266,0.040773186660029104,nan,nan,0.830078125,0.11996516740821077,96,0,0,0,2150400,2155776,0,0.21891270000196528,0.7187545634337594,0.975714273714872,0.35,0.0525,0.0,0.0,constant,1,0,2.0,0.35630405685053107,0.581050150416248,0.08506308260338993,29.629807927979982,21.69999700502571,0.08506308260338993,nan
normalized-crossfit,NCJT-spiral-21,spiral,2,concentrated,NCJT-spiral-21/concentrated,4,0.0034375925835181675,0.038864678028002225,nan,nan,0.7998046875,0.1643786890870501,98,0,0,0,2150400,2155776,0,0.21213599998736754,0.7129840183639874,0.9928014320823255,0.35,0.0525,0.0,0.0,constant,1,0,2.0,0.32577499072688837,0.5787441653210856,0.08327335518406734,32.88872217301705,23.543670926627478,0.08327335518406734,nan
normalized-crossfit,NCJT-spiral-21,spiral,2,concentrated,NCJT-spiral-21/concentrated,5,0.004848896517035017,0.047501637161099945,nan,nan,0.8056640625,0.13035548686242007,91,0,0,0,2150400,2155776,0,0.21197590000519995,0.7199683413207544,0.9740127366916437,0.35,0.0525,0.0,0.0,constant,1,0,2.0,0.3606735647535227,0.5591520135537944,0.12044402288113717,32.379382050661945,21.151237762253544,0.12044402288113717,nan
paper,NCJT-sine-048,sine,2,covered,NCJT-sine-048/covered,0,0.01848671565871096,0.09615505507245882,nan,nan,1.0,0.025475672364924262,1,0,0,0,2150400,2155776,0,0.21168939999188296,1.1785156788504094,1.054683497645318,0.35,0.0525,0.0,0.0,paper,0,1,,0.3917199038620801,0.5805035455606466,0.032206545932988107,18.313735298660724,14.82118836619663,0.016266051769568,nan
paper,NCJT-sine-048,sine,2,covered,NCJT-sine-048/covered,1,0.007643882550843584,0.06560849684605839,nan,nan,0.9990234375,0.028443131418133316,1,0,0,0,2150400,2155776,0,0.21048599999630824,1.1738206793451442,1.0015511374906307,0.35,0.0525,0.0,0.0,paper,0,1,,0.4027827422210621,0.5795850906769425,0.040898949435166435,18.552970191156042,14.472917764215893,0.021929659830923785,nan
paper,NCJT-sine-048,sine,2,covered,NCJT-sine-048/covered,2,0.005265738199732306,0.03894090920941067,nan,nan,1.0,0.04295433938350145,1,0,0,0,2150400,2155776,0,0.20494899999175686,1.1762267353697142,1.0576725985476396,0.35,0.0525,0.0,0.0,paper,0,1,,0.4230218558788309,0.564209104555655,0.06506215157905795,18.333872859061607,14.853632657116853,0.03853996418728179,nan
paper,NCJT-sine-048,sine,2,covered,NCJT-sine-048/covered,3,0.0062929054820084485,0.05173420682175172,nan,nan,1.0,0.053212324552977606,1,0,0,0,2150400,2155776,0,0.20747719999053515,1.1752707888266918,1.0549544222216563,0.35,0.0525,0.0,0.0,paper,0,1,,0.3710550838184063,0.5652946288810572,0.08971992461519823,20.436076365583915,14.697706999472302,0.04077052651391416,nan
paper,NCJT-sine-048,sine,2,covered,NCJT-sine-048/covered,4,0.009734868488825654,0.07199565460155341,nan,nan,1.0,0.04990055908989719,1,0,0,0,2150400,2155776,0,0.20775040000444278,1.172804032351704,1.041377209991723,0.35,0.0525,0.0,0.0,paper,0,1,,0.38570954528075,0.571786905580578,0.08165477428519877,21.029692017045573,14.830379021680843,0.043499393419745305,nan
paper,NCJT-sine-048,sine,2,covered,NCJT-sine-048/covered,5,0.010683776183433524,0.07419455431803677,nan,nan,1.0,0.042740266888773595,1,0,0,0,2150400,2155776,0,0.21707640000386164,1.1783688466183997,1.0714569880786273,0.35,0.0525,0.0,0.0,paper,0,1,,0.3584178126909486,0.5761287511838861,0.048625620617892974,22.176548468226585,14.487009002543825,0.025385345675941386,nan
normalized-only,NCJT-sine-048,sine,2,covered,NCJT-sine-048/covered,0,0.013692708929016195,0.08100702731466884,nan,nan,1.0,0.047113821738988426,1,0,0,0,2150400,2155776,0,0.21578889999364037,1.2369147603475608,1.106946313183564,0.35,0.0525,0.0,0.0,constant,0,1,2.0,0.27625948887137813,0.5912916979034002,0.036070863560072455,18.149945198387694,14.646421824737557,0.036070863560072455,nan
normalized-only,NCJT-sine-048,sine,2,covered,NCJT-sine-048/covered,1,0.007874515689361372,0.06531258517911537,nan,nan,1.0,0.05019091127229991,1,0,0,0,2150400,2155776,0,0.21725879999576136,1.230938424989799,1.0502863013260635,0.35,0.0525,0.0,0.0,constant,0,1,2.0,0.33273240118754854,0.5938839842142434,0.04048672604985103,18.512481828723523,14.66506560039964,0.04048672604985103,nan
normalized-only,NCJT-sine-048,sine,2,covered,NCJT-sine-048/covered,2,0.007810334874115643,0.04976840049181866,nan,nan,0.9990234375,0.07934331576655963,1,0,0,0,2150400,2155776,0,0.21437149999837857,1.2351642846836077,1.1106697198171724,0.35,0.0525,0.0,0.0,constant,0,1,2.0,0.34295891132894857,0.5762590621786502,0.06714519778128406,18.310385782503182,14.733557761043134,0.06714519778128406,nan
normalized-only,NCJT-sine-048,sine,2,covered,NCJT-sine-048/covered,3,0.007605260354916155,0.054508959035225645,nan,nan,1.0,0.10463403491365433,1,0,0,0,2150400,2155776,0,0.22539340000366792,1.2322146502417148,1.1060687517781056,0.35,0.0525,0.0,0.0,constant,0,1,2.0,0.2536017697972979,0.579404418504452,0.08670521103856646,20.05708275828406,14.240912107079813,0.08670521103856646,nan
normalized-only,NCJT-sine-048,sine,2,covered,NCJT-sine-048/covered,4,0.007901456558306208,0.05655637577911846,nan,nan,1.0,0.09235327433357227,1,0,0,0,2150400,2155776,0,0.21775820000038948,1.2145010378757835,1.0784015636602595,0.35,0.0525,0.0,0.0,constant,0,1,2.0,0.31555270285019044,0.5814379156518203,0.08679103962075194,20.241587884188252,14.664896327073341,0.08679103962075194,nan
normalized-only,NCJT-sine-048,sine,2,covered,NCJT-sine-048/covered,5,0.011166070122047733,0.07525750767706227,nan,nan,1.0,0.10137915384434805,1,0,0,0,2150400,2155776,0,0.21939990000100806,1.2246688884568027,1.113556287901813,0.35,0.0525,0.0,0.0,constant,0,1,2.0,0.26503553087567516,0.5861464338676764,0.04430655872484346,21.907262076193167,14.550046276904734,0.04430655872484346,nan
abc,NCJT-sine-048,sine,2,covered,NCJT-sine-048/covered,0,0.013817764898692797,0.08137387776021462,nan,nan,1.0,0.0459137216770253,1,0,0,0,2150400,2155776,0,0.22837080000317656,1.230454833636551,1.1011651613326645,0.35,0.0525,0.0,0.0,abc,0,1,2.0,0.2722698537322816,0.5901027248051334,0.036483568072187805,18.26530444641026,14.718155599832379,0.03699384726035107,nan
abc,NCJT-sine-048,sine,2,covered,NCJT-sine-048/covered,1,0.007904622321822208,0.06624759007388262,nan,nan,1.0,0.04991750286663273,1,0,0,0,2150400,2155776,0,0.23230029999103863,1.2210491214838064,1.0418483487923405,0.35,0.0525,0.0,0.0,abc,0,1,2.0,0.32337096244883407,0.5936754478164714,0.04257321759678845,18.76798547680834,14.779730813558498,0.04007724282668562,nan
abc,NCJT-sine-048,sine,2,covered,NCJT-sine-048/covered,2,0.007625504278917727,0.04920507758614456,nan,nan,0.9990234375,0.0774406328468425,1,0,0,0,2150400,2155776,0,0.22705240000505,1.2264727880180617,1.1028542556833576,0.35,0.0525,0.0,0.0,abc,0,1,2.0,0.33293788332874885,0.5753638806486057,0.0653982238531985,18.37029610209568,14.832320376830738,0.06360164889919748,nan
