K,d,arm,comparison,seed,steps,final_ED2,coverage,mass_error,event_time,censored,kernel_pairs,wall_seconds,L_est,sigma_est,best_tau,oracle_tune_kernel_pairs
8,2,fine-common,bandwidth-only,0,80,0.028703194051401537,1.0,0.3125,80,1,655360,0.17042088508605957,0.9872945114841596,0.14976980408150603,0.21213203435596423,5898240
8,2,fine-common,bandwidth-only,1,80,0.034895070269642,1.0,0.34375,80,1,655360,0.17380881309509277,0.9872945114841596,0.14976980408150603,0.21213203435596423,5898240
8,2,coarse-common,bandwidth-only,0,80,0.04953922624470786,0.875,0.21875,80,1,655360,0.16899919509887695,0.9872945114841596,0.14976980408150603,0.21213203435596423,5898240
8,2,coarse-common,bandwidth-only,1,80,0.06034770226914654,1.0,0.21875,80,1,655360,0.17362284660339355,0.9872945114841596,0.14976980408150603,0.21213203435596423,5898240
8,2,average-common,bandwidth-only/equal-compute,0,40,0.09584729495455324,0.875,0.375,40,1,655360,0.09802412986755371,0.9872945114841596,0.14976980408150603,0.21213203435596423,5898240
8,2,average-common,bandwidth-only/equal-compute,1,40,0.10758820378235012,1.0,0.28125,40,1,655360,0.10428881645202637,0.9872945114841596,0.14976980408150603,0.21213203435596423,5898240
8,2,paper-fixed-common,bandwidth-only/equal-compute,0,26,0.12423524050280332,0.875,0.34375,26,1,638976,0.07179832458496094,0.9872945114841596,0.14976980408150603,0.21213203435596423,5898240
8,2,paper-fixed-common,bandwidth-only/equal-compute,1,26,0.14023201113583839,1.0,0.3125,26,1,638976,0.07158160209655762,0.9872945114841596,0.14976980408150603,0.21213203435596423,5898240
8,2,anneal-oracle-common,bandwidth-only,0,80,0.02064012571289431,1.0,0.25,80,1,655360,0.17527389526367188,0.9872945114841596,0.14976980408150603,0.21213203435596423,5898240
8,2,anneal-oracle-common,bandwidth-only,1,80,0.02471489277430572,1.0,0.21875,80,1,655360,0.1912543773651123,0.9872945114841596,0.14976980408150603,0.21213203435596423,5898240
8,2,anneal-estimated-common,bandwidth-only,0,80,0.02057604255788914,1.0,0.25,80,1,655360,0.16986894607543945,0.9872945114841596,0.14976980408150603,0.21213203435596423,5898240
8,2,anneal-estimated-common,bandwidth-only,1,80,0.024662802393303318,1.0,0.21875,80,1,655360,0.18509459495544434,0.9872945114841596,0.14976980408150603,0.21213203435596423,5898240
8,2,oracle-grid-common,held-out oracle,0,80,0.01096672802720211,1.0,0.125,80,1,655360,0.1862649917602539,0.9872945114841596,0.14976980408150603,0.21213203435596423,5898240
8,2,oracle-grid-common,held-out oracle,1,80,0.014069242988028696,1.0,0.15625,76,0,655360,0.1830120086669922,0.9872945114841596,0.14976980408150603,0.21213203435596423,5898240
8,2,fine-joint,joint policy,0,80,0.26322220023465825,0.75,0.375,80,1,655360,0.17989778518676758,0.9872945114841596,0.14976980408150603,0.21213203435596423,5898240
8,2,fine-joint,joint policy,1,80,0.2843025181053007,1.0,0.25,80,1,655360,0.16884231567382812,0.9872945114841596,0.14976980408150603,0.21213203435596423,5898240
8,2,coarse-joint,joint policy,0,80,0.022413499117798663,1.0,0.1875,80,1,655360,0.17223620414733887,0.9872945114841596,0.14976980408150603,0.21213203435596423,5898240
8,2,coarse-joint,joint policy,1,80,0.023855516224142947,1.0,0.15625,80,1,655360,0.1890394687652588,0.9872945114841596,0.14976980408150603,0.21213203435596423,5898240
8,2,anneal-oracle-joint,joint policy,0,80,0.06991599349337796,1.0,0.28125,80,1,655360,0.1754288673400879,0.9872945114841596,0.14976980408150603,0.21213203435596423,5898240
8,2,anneal-oracle-joint,joint policy,1,80,0.0877652367720585,1.0,0.21875,80,1,655360,0.18573474884033203,0.9872945114841596,0.14976980408150603,0.21213203435596423,5898240
8,2,anneal-estimated-joint,joint policy,0,80,0.07054161473828491,1.0,0.28125,80,1,655360,0.17564177513122559,0.9872945114841596,0.14976980408150603,0.21213203435596423,5898240
8,2,anneal-estimated-joint,joint policy,1,80,0.08843187432585453,1.0,0.21875,80,1,655360,0.17096495628356934,0.9872945114841596,0.14976980408150603,0.21213203435596423,5898240
4,5,fine-common,bandwidth-only,0,80,0.03096440344936635,1.0,0.1875,80,1,245760,0.22894883155822754,0.9972631025089063,0.1507304480171791,0.21213203435596423,2211840
4,5,fine-common,bandwidth-only,1,80,0.03613362569192824,1.0,0.1875,80,1,245760,0.2257077693939209,0.9972631025089063,0.1507304480171791,0.21213203435596423,2211840
4,5,coarse-common,bandwidth-only,0,80,0.039274663513705454,1.0,0.0625,80,1,245760,0.22675251960754395,0.9972631025089063,0.1507304480171791,0.21213203435596423,2211840
4,5,coarse-common,bandwidth-only,1,80,0.045854818524728946,1.0,0.125,80,1,245760,0.21667933464050293,0.9972631025089063,0.1507304480171791,0.21213203435596423,2211840
4,5,average-common,bandwidth-only/equal-compute,0,40,0.04785208298252863,1.0,0.0625,40,1,245760,0.12689805030822754,0.9972631025089063,0.1507304480171791,0.21213203435596423,2211840
4,5,average-common,bandwidth-only/equal-compute,1,40,0.05832193315069256,1.0,0.1875,40,1,245760,0.11685872077941895,0.9972631025089063,0.1507304480171791,0.21213203435596423,2211840
4,5,paper-fixed-common,bandwidth-only/equal-compute,0,26,0.051813895628598505,1.0,0.0625,26,1,239616,0.08002376556396484,0.9972631025089063,0.1507304480171791,0.21213203435596423,2211840
