arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d4-correlated-t,correlated-t,4,0,concentrated,0.016,0.5,0.25,32,5,64,64,10,10,1.6114097194634855,2.4822985437445357,0.006572419173047628,0.060251941846152075,0.11160344219642054,0.9393256902694702,1.8640608671452417,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,341785966,16,8,0,5,0,68608,0,0.1480874999979278,0.0,0.0,0.0,0.0,0.20652107410132886
cta-kll-global,NPR-d4-correlated-t,correlated-t,4,0,concentrated,0.016,0.5,0.25,32,5,64,64,10,10,1.6114097194634855,2.4822985437445357,0.01209015046829709,0.08495017806123316,0.12910935221984396,0.9680539965629578,1.7422370043469606,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,341785966,16,8,0,5,0,68608,98048,0.14754569999786327,0.0,0.0,0.0,0.0,0.29433397836983205
cta-exact-hybrid,NPR-d4-correlated-t,correlated-t,4,0,concentrated,0.016,0.5,0.25,32,5,64,64,10,10,1.6114097194634855,2.4822985437445357,0.006327723114927686,0.057912061606687826,0.11146526852258988,0.9355853796005249,1.882506945319847,nan,nan,nan,160,10240,20480,320,20480,23040,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,341785966,16,8,5,5,2621440,68608,0,0.16636980000475887,0.0625,0.0,0.25,1.15492365632546,0.21044607758522033
cta-kll-hybrid,NPR-d4-correlated-t,correlated-t,4,0,concentrated,0.016,0.5,0.25,32,5,64,64,10,10,1.6114097194634855,2.4822985437445357,0.011857908802832107,0.08634870790073639,0.13363191680633615,0.9657227993011475,1.7509484202020118,nan,nan,nan,160,10240,20480,320,20480,23040,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,341785966,16,8,5,5,2621440,68608,98048,0.16417480000382056,0.0625,0.0,0.25,1.7600619206353936,0.30062369666993616
cta-kll-guarded,NPR-d4-correlated-t,correlated-t,4,0,concentrated,0.016,0.5,0.25,32,5,64,64,10,10,1.6114097194634855,2.4822985437445357,0.011802309632048313,0.08611026777135941,0.13282990964544078,0.9656600952148438,1.757023570260455,nan,nan,nan,160,10240,20480,320,20480,23040,3604480,1310720,2293760,5898240.0,0.0,5898240.0,64,32,32,32.0,10,10,341785966,16,8,5,5,2621440,68608,98048,0.1779884000061429,0.05500000000000001,0.0,0.22000000000000003,1.7478532927302648,0.3001801710575819
cta-exact-global,NPR-d4-nonlinear,nonlinear,4,0,concentrated,0.016,0.5,0.25,32,5,64,64,10,10,1.624482796269459,2.4623221675143587,0.016649773565205805,0.1039619612150716,0.1742052033181928,0.9167745113372803,3.013233590016643,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,7042142,16,8,0,5,0,68608,0,0.14768020000337856,0.0,0.0,0.0,0.0,0.22505068890750407
cta-kll-global,NPR-d4-nonlinear,nonlinear,4,0,concentrated,0.016,0.5,0.25,32,5,64,64,10,10,1.624482796269459,2.4623221675143587,0.006682705137770917,0.06197787304576974,0.11755539715234764,0.9727957844734192,2.9311097683084064,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,7042142,16,8,0,5,0,68608,98048,0.15557840000110446,0.0,0.0,0.0,0.0,0.21521174758672715
cta-exact-hybrid,NPR-d4-nonlinear,nonlinear,4,0,concentrated,0.016,0.5,0.25,32,5,64,64,10,10,1.624482796269459,2.4623221675143587,0.01715112920676276,0.10167309859763701,0.15627958630527716,0.9384098649024963,2.95053147797271,nan,nan,nan,160,10240,20480,320,20480,23040,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,7042142,16,8,5,5,2621440,68608,0,0.16022510000038892,0.0625,0.0,0.25,0.826636367423425,0.22590967640280724
cta-kll-hybrid,NPR-d4-nonlinear,nonlinear,4,0,concentrated,0.016,0.5,0.25,32,5,64,64,10,10,1.624482796269459,2.4623221675143587,0.006556826254453085,0.061867486432954935,0.11040451089398998,0.98507159948349,2.841470181978823,nan,nan,nan,160,10240,20480,320,20480,23040,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,7042142,16,8,5,5,2621440,68608,98048,0.16310270000394667,0.0625,0.0,0.25,0.7867352827281038,0.21936005651950835
cta-kll-guarded,NPR-d4-nonlinear,nonlinear,4,0,concentrated,0.016,0.5,0.25,32,5,64,64,10,10,1.624482796269459,2.4623221675143587,0.006556826254453085,0.061867486432954935,0.11040451089398998,0.98507159948349,2.841470181978823,nan,nan,nan,160,10240,20480,320,20480,23040,3604480,1310720,2293760,5898240.0,0.0,5898240.0,64,32,32,32.0,10,10,7042142,16,8,5,5,2621440,68608,98048,0.17680269999982556,0.0625,0.0,0.25,0.7867352827281038,0.21936005651950835
