arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_local_scale,mean_teacher_displacement_rms
cta-exact-hybrid,NPR-d4-nonlinear,nonlinear,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.624482796269459,2.4623221675143587,0.008517228236104124,0.06588641783673735,0.1329013010669745,0.9334073066711426,3.027730532836154,nan,nan,nan,160,10240,20480,320,20480,30720,2621440,24670277.592530765,10485760,68608,0,0.46193140000104904,0.25,0.25,4.523379286306987,0.2429899726063013
cta-kll-hybrid,NPR-d4-nonlinear,nonlinear,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.624482796269459,2.4623221675143587,0.008205446456423182,0.06505239717976012,0.13135198627883135,0.9290551543235779,3.0377312088433857,nan,nan,nan,160,10240,20480,320,20480,30720,2621440,5898240.0,10485760,68608,98048,0.4873838000057731,0.25,0.25,4.530433071983579,0.242681772261858
cta-kll-guarded,NPR-d4-nonlinear,nonlinear,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.624482796269459,2.4623221675143587,0.008205446456423182,0.06505239717976012,0.13135198627883135,0.9290551543235779,3.0377312088433857,nan,nan,nan,160,10240,20480,320,20480,30720,6553600,11796480.0,10485760,68608,98048,0.5706139000030817,0.25,0.25,4.530433071983579,0.242681772261858
cta-exact-global,NPR-d8-balanced-gmm,balanced-gmm,8,0,concentrated,0.016,0.5,0.25,64,64,36,36,0.34290171550029463,8.248506778741264,0.03589119184101586,0.11299778752472156,0.11960136605253337,1.0005642175674438,3.355875564646445,1.0,0.0546875,nan,160,10240,20480,320,20480,20480,2621440,24670277.592530765,0,70656,0,0.17467430000397144,0.0,0.0,0.0,0.23055367581546307
cta-kll-global,NPR-d8-balanced-gmm,balanced-gmm,8,0,concentrated,0.016,0.5,0.25,64,64,36,36,0.34290171550029463,8.248506778741264,0.0365078949350921,0.11371922201997714,0.12064464052621793,1.001073956489563,3.3662751289456234,1.0,0.052734375,nan,160,10240,20480,320,20480,20480,2621440,5898240.0,0,70656,98048,0.17351369999960298,0.0,0.0,0.0,0.23066299706697463
cta-exact-hybrid,NPR-d8-balanced-gmm,balanced-gmm,8,0,concentrated,0.016,0.5,0.25,64,64,36,36,0.34290171550029463,8.248506778741264,0.020027097680689554,0.08138645966742007,0.09754070879523924,1.0095555782318115,2.986670535257128,1.0,0.037109375,nan,160,10240,20480,320,20480,30720,2621440,24670277.592530765,10485760,70656,0,0.45812300000397954,0.25,0.25,3.8059221935238403,0.2561874732375145
cta-kll-hybrid,NPR-d8-balanced-gmm,balanced-gmm,8,0,concentrated,0.016,0.5,0.25,64,64,36,36,0.34290171550029463,8.248506778741264,0.02089991707941463,0.08340551959614204,0.09954427876612315,1.01137113571167,2.998567400763482,1.0,0.0322265625,nan,160,10240,20480,320,20480,30720,2621440,5898240.0,10485760,70656,98048,0.4322089000052074,0.25,0.25,3.8054894203010377,0.25676574781537054
cta-kll-guarded,NPR-d8-balanced-gmm,balanced-gmm,8,0,concentrated,0.016,0.5,0.25,64,64,36,36,0.34290171550029463,8.248506778741264,0.02089991707941463,0.08340551959614204,0.09954427876612315,1.01137113571167,2.998567400763482,1.0,0.0322265625,nan,160,10240,20480,320,20480,30720,6553600,11796480.0,10485760,70656,98048,0.521916700003203,0.25,0.25,3.8054894203010377,0.25676574781537054
cta-exact-global,NPR-d8-rare-gmm,rare-gmm,8,0,concentrated,0.016,0.5,0.25,64,64,36,36,0.2896196383303909,9.76600599687094,0.024802068841907055,0.10559991896083377,0.12582229359506916,1.0000749826431274,5.461876975525246,1.0,0.024023437499999953,0.012011718749999997,160,10240,20480,320,20480,20480,2621440,24670277.592530765,0,70656,0,0.17201420000492362,0.0,0.0,0.0,0.24419781863689421
cta-kll-global,NPR-d8-rare-gmm,rare-gmm,8,0,concentrated,0.016,0.5,0.25,64,64,36,36,0.2896196383303909,9.76600599687094,0.025221264823493517,0.10668548312161644,0.1267996957602726,1.0004950761795044,5.465840224508586,1.0,0.026953124999999953,0.013476562499999997,160,10240,20480,320,20480,20480,2621440,5898240.0,0,70656,98048,0.17672969999694033,0.0,0.0,0.0,0.24431930109858513
