arm,cell,seed,ed2,family,init
paper,NCJG-gmix-1d-K4-uneq/concentrated,5,0.006669949822270871,gauss_mixture,concentrated
pow-g0.0,NCJG-gmix-1d-K4-uneq/concentrated,0,0.006147416520048354,gauss_mixture,concentrated
pow-g0.0,NCJG-gmix-1d-K4-uneq/concentrated,1,0.008572738419419412,gauss_mixture,concentrated
pow-g0.0,NCJG-gmix-1d-K4-uneq/concentrated,2,0.005593559599854636,gauss_mixture,concentrated
pow-g0.0,NCJG-gmix-1d-K4-uneq/concentrated,3,0.013982117291684748,gauss_mixture,concentrated
pow-g0.0,NCJG-gmix-1d-K4-uneq/concentrated,4,0.005493373513875799,gauss_mixture,concentrated
pow-g0.0,NCJG-gmix-1d-K4-uneq/concentrated,5,0.007912328047688932,gauss_mixture,concentrated
pow-g0.5,NCJG-gmix-1d-K4-uneq/concentrated,0,0.006006355623650039,gauss_mixture,concentrated
pow-g0.5,NCJG-gmix-1d-K4-uneq/concentrated,1,0.00832583529275599,gauss_mixture,concentrated
pow-g0.5,NCJG-gmix-1d-K4-uneq/concentrated,2,0.005464083246169871,gauss_mixture,concentrated
pow-g0.5,NCJG-gmix-1d-K4-uneq/concentrated,3,0.013495166219735122,gauss_mixture,concentrated
pow-g0.5,NCJG-gmix-1d-K4-uneq/concentrated,4,0.005670374273983425,gauss_mixture,concentrated
pow-g0.5,NCJG-gmix-1d-K4-uneq/concentrated,5,0.007255034531598037,gauss_mixture,concentrated
pow-g1.0,NCJG-gmix-1d-K4-uneq/concentrated,0,0.005860163361171455,gauss_mixture,concentrated
pow-g1.0,NCJG-gmix-1d-K4-uneq/concentrated,1,0.008585749004132559,gauss_mixture,concentrated
pow-g1.0,NCJG-gmix-1d-K4-uneq/concentrated,2,0.005386976645932684,gauss_mixture,concentrated
pow-g1.0,NCJG-gmix-1d-K4-uneq/concentrated,3,0.013063239730274123,gauss_mixture,concentrated
pow-g1.0,NCJG-gmix-1d-K4-uneq/concentrated,4,0.005963840956529243,gauss_mixture,concentrated
pow-g1.0,NCJG-gmix-1d-K4-uneq/concentrated,5,0.006669949822270871,gauss_mixture,concentrated
pow-g1.5,NCJG-gmix-1d-K4-uneq/concentrated,0,0.005681033297916693,gauss_mixture,concentrated
pow-g1.5,NCJG-gmix-1d-K4-uneq/concentrated,1,0.008531432280811657,gauss_mixture,concentrated
pow-g1.5,NCJG-gmix-1d-K4-uneq/concentrated,2,0.005589278623268079,gauss_mixture,concentrated
pow-g1.5,NCJG-gmix-1d-K4-uneq/concentrated,3,0.012561887192374499,gauss_mixture,concentrated
pow-g1.5,NCJG-gmix-1d-K4-uneq/concentrated,4,0.006355841667907702,gauss_mixture,concentrated
pow-g1.5,NCJG-gmix-1d-K4-uneq/concentrated,5,0.006230033142365032,gauss_mixture,concentrated
pow-g2.0,NCJG-gmix-1d-K4-uneq/concentrated,0,0.005580282015413607,gauss_mixture,concentrated
pow-g2.0,NCJG-gmix-1d-K4-uneq/concentrated,1,0.0096284548028569,gauss_mixture,concentrated
pow-g2.0,NCJG-gmix-1d-K4-uneq/concentrated,2,0.0056361174856933705,gauss_mixture,concentrated
pow-g2.0,NCJG-gmix-1d-K4-uneq/concentrated,3,0.012146031600022589,gauss_mixture,concentrated
pow-g2.0,NCJG-gmix-1d-K4-uneq/concentrated,4,0.006834600951422187,gauss_mixture,concentrated
pow-g2.0,NCJG-gmix-1d-K4-uneq/concentrated,5,0.005877062972093672,gauss_mixture,concentrated
paper,NCJG-gmix-2d-K5-uneq/broad,0,0.009876238155800854,gauss_mixture,broad
paper,NCJG-gmix-2d-K5-uneq/broad,1,0.009473815877700131,gauss_mixture,broad
paper,NCJG-gmix-2d-K5-uneq/broad,2,0.010059648369156404,gauss_mixture,broad
paper,NCJG-gmix-2d-K5-uneq/broad,3,0.014149413217733331,gauss_mixture,broad
paper,NCJG-gmix-2d-K5-uneq/broad,4,0.012538042912053626,gauss_mixture,broad
