target_weights,estimator,per_mode,N,batch,mask,seed,total_steps,final_ED2,coverage,mass_error,residual_rms,generator_max_real,perturbation_ratio,stable_wrong_candidate,kernel_pairs,wall_seconds
equal,paper,1,4,16,False,2,2000,0.19073221876011004,0.75,0.5,0.015822558952801838,-0.11658112473662663,0.5354889119860142,0,160000,2.8127658367156982
equal,paper,1,4,16,False,3,2000,0.23754012110423728,0.75,0.5,0.08278333589428205,0.8054271067602287,1.0640257238559707,0,160000,2.85166597366333
equal,paper,1,4,16,False,4,2000,0.030017496622802398,1.0,0.0,0.029594618454101405,-1.0211976130295417,nan,0,160000,2.860936164855957
equal,paper,1,4,16,False,5,2000,0.2401427581234189,1.0,0.0,0.025583538411438927,0.08554530991891138,nan,0,160000,2.8619585037231445
equal,paper,1,4,16,True,0,2000,0.43770706440105467,1.0,0.0,0.011995711051227835,0.006748146525155184,nan,0,160000,2.8317484855651855
equal,paper,1,4,16,True,1,2000,0.5968233576778198,0.75,0.5,0.007019042297124827,0.011394891228598058,0.987620791923924,0,160000,2.809178352355957
equal,paper,1,4,16,True,2,2000,0.45170127456167697,1.0,0.0,0.01372087743531564,0.005635760779349871,nan,0,160000,2.813767910003662
equal,paper,1,4,16,True,3,400,0.5377619441399663,1.0,0.0,0.02008334534969928,0.0114560325069641,nan,0,32000,0.5927135944366455
equal,paper,1,4,16,True,4,2000,0.39343584098639417,1.0,0.0,0.0161175365424648,0.008462711089286796,nan,0,160000,2.811049699783325
equal,paper,1,4,16,True,5,400,0.6126748959486078,1.0,0.0,0.024230149842028564,0.02082911186003082,nan,0,32000,0.5745868682861328
equal,paper,1,4,64,False,0,2000,0.15225064128007515,0.75,0.5,0.019506013928285583,-0.05350478596621211,0.7092001975105663,0,544000,2.7940900325775146
equal,paper,1,4,64,False,1,2000,0.27020033956124634,0.75,0.5,0.05576998935683577,0.5046211648776517,0.8032891533814835,0,544000,2.8076648712158203
equal,paper,1,4,64,False,2,400,0.030127284379437458,1.0,0.0,0.016732410940325276,-1.0361850297004653,nan,0,108800,0.5818648338317871
equal,paper,1,4,64,False,3,2000,0.3801169245105943,0.75,0.5,0.016747194879693218,0.009999280514870222,0.5906420952193989,0,544000,2.805471658706665
equal,paper,1,4,64,False,4,400,0.10919271416153309,1.0,0.0,1.304665135463498,-0.6051026833276691,nan,0,108800,0.5781786441802979
equal,paper,1,4,64,False,5,2000,0.27520110165630196,0.75,0.5,0.1116887765179005,1.0273075909284852,0.942487793961557,0,544000,2.8196163177490234
equal,paper,1,4,64,True,0,2000,0.4788540367558628,1.0,0.0,0.01172092563569797,0.002343215366232913,nan,0,544000,2.830073833465576
equal,paper,1,4,64,True,1,2000,0.43357279407968574,0.75,0.5,0.015355380792113576,0.04673698787710047,0.994602057696775,0,544000,2.8367393016815186
equal,paper,1,4,64,True,2,400,0.4493405401922147,1.0,0.0,0.03119210818304602,0.041205014927797566,nan,0,108800,0.5748398303985596
equal,paper,1,4,64,True,3,2000,0.5571498493736028,0.75,0.5,0.010771488930834518,0.026178179612692906,0.9535576009634193,0,544000,2.811436414718628
equal,paper,1,4,64,True,4,400,0.36373952226062867,1.0,0.0,0.027490918378970438,0.031266983401570914,nan,0,108800,0.5801537036895752
equal,paper,1,4,64,True,5,2000,0.4267285997457796,0.75,0.5,0.01057240446871664,0.023289342002375896,0.988460424698416,0,544000,2.8223965167999268
equal,paper,2,8,16,False,0,2000,0.27172448567092233,1.0,0.5,0.09334542101655999,1.168608005979265,0.8683304808300013,0,384000,2.8539111614227295
equal,paper,2,8,16,False,1,2000,0.16852235903392188,1.0,0.25,0.1848334293389974,1.2234900229606611,nan,0,384000,2.8217170238494873
equal,paper,2,8,16,False,2,400,0.06851160124879574,1.0,0.25,0.14919311538699562,0.9159140339907695,nan,0,76800,0.5789031982421875
equal,paper,2,8,16,False,3,2000,0.1601637419708476,1.0,0.25,0.023409813608161474,0.1258816132160667,nan,0,384000,2.828864336013794
equal,paper,2,8,16,False,4,2000,0.15708722475363335,1.0,0.5,0.018874562262327223,0.06784261750510538,0.7987202339478705,0,384000,2.84281325340271
equal,paper,2,8,16,False,5,2000,0.20320179300465846,1.0,0.25,0.020057979982064416,0.14353459329052423,nan,0,384000,2.842005491256714
equal,paper,2,8,16,True,0,400,0.2613564631329418,1.0,0.25,0.03411648797860539,0.15478122039832543,nan,0,76800,0.5860066413879395
equal,paper,2,8,16,True,1,400,0.3122775834875767,1.0,0.25,0.018744080358900326,0.09339427686667741,nan,0,76800,0.5989177227020264
equal,paper,2,8,16,True,2,400,0.11621532851306327,1.0,0.0,0.03315902083167926,0.5537520135113747,nan,0,76800,0.582089900970459
equal,paper,2,8,16,True,3,400,0.3133477038472202,1.0,0.25,0.030880526125217314,0.11216638327164706,nan,0,76800,0.5833420753479004
equal,paper,2,8,16,True,4,2000,0.3206445660268086,1.0,0.25,0.015643619609550928,0.030400486786246083,nan,0,384000,2.832016944885254
