arm,kind,target,family,dimension,replication,initialization,learning_rate_multiplier,learning_rate,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,diverged,wall_seconds,atlas_build_seconds,evaluation_generator_examples,model_parameters
kll-paper-hybrid,neural,NPR-d4-balanced-gmm,balanced-gmm,4,0,broad,32.0,0.032,0.10554344602666088,0.22977388994695927,0.27978007346143147,0.9666334986686707,2.1773668186458597,1.0,0.087890625,nan,20,10240,20480,320,20480,30720,2621440,5898240.0,10485760,68608,98048,0,0.7318218000000343,0.06701189999876078,2048,4740
exact-free-particle-ceiling,free-particle-diagnostic,NPR-d4-balanced-gmm,balanced-gmm,4,0,broad,nan,nan,0.0031712649307698015,0.03878800968564598,0.0535859445227625,0.998364314705018,2.6583987827131024,1.0,0.03515625,nan,100,512,512,1,20480,20480,7864320,48263237.592530765,0,68608,0,0,0.18161549999786075,0.08822800000052666,0,0
paper-neural,neural,NPR-d4-balanced-gmm,balanced-gmm,4,1,concentrated,16.0,0.016,0.021849324962226024,0.10231355699894516,0.14777961669759315,1.0351355075836182,2.5118131062018585,1.0,0.056640625,nan,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.5226850000035483,0.0,2048,4740
minibatch-sw,neural,NPR-d4-balanced-gmm,balanced-gmm,4,1,concentrated,16.0,0.016,0.07356906848771372,0.1906361124219227,0.23687658227288155,0.9774627089500427,2.603097924997276,1.0,0.08203125,nan,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.9060901999982889,0.0,2048,4740
exact-atlas-rsr,neural,NPR-d4-balanced-gmm,balanced-gmm,4,1,concentrated,32.0,0.032,0.07152104214226673,0.18824201786911893,0.2513562122232622,0.9705528020858765,2.5986870109374363,1.0,0.12890625,nan,20,10240,20480,320,20480,20480,2621440,24670277.592530765,0,68608,0,0,0.28452529999776743,0.0714804000017466,2048,4740
kll-atlas-rsr,neural,NPR-d4-balanced-gmm,balanced-gmm,4,1,concentrated,32.0,0.032,0.08253678743616755,0.19812932094406432,0.2638495625824623,0.9626520276069641,2.6928473285626615,1.0,0.0849609375,nan,20,10240,20480,320,20480,20480,2621440,5898240.0,0,68608,98048,0,0.2490008000022499,0.06019379999634111,2048,4740
kll-small-rsr,neural,NPR-d4-balanced-gmm,balanced-gmm,4,1,concentrated,16.0,0.016,0.03631585459434339,0.13512331577236691,0.18462813078817317,0.9346762895584106,2.667127885464283,1.0,0.134765625,nan,160,10240,20480,320,20480,20480,2621440,3932160.0,0,68608,98048,0,0.44608639999933075,0.06019379999634111,2048,4740
kll-paper-hybrid,neural,NPR-d4-balanced-gmm,balanced-gmm,4,1,concentrated,32.0,0.032,0.0923817989137441,0.223187737908397,0.29041476811979855,1.0698248147964478,2.7384609250981877,1.0,0.1142578125,nan,20,10240,20480,320,20480,30720,2621440,5898240.0,10485760,68608,98048,0,0.6913675999967381,0.06019379999634111,2048,4740
exact-free-particle-ceiling,free-particle-diagnostic,NPR-d4-balanced-gmm,balanced-gmm,4,1,concentrated,nan,nan,0.0032052678308231997,0.03882042119974339,0.0629848422728669,0.9984934651987162,2.64917891882429,1.0,0.01953125,nan,100,512,512,1,20480,20480,7864320,48263237.592530765,0,68608,0,0,0.19342299999698298,0.0714804000017466,0,0
paper-neural,neural,NPR-d4-balanced-gmm,balanced-gmm,4,1,broad,16.0,0.016,0.04246568375361859,0.14230409647934048,0.20204017061818003,1.0191476345062256,2.388372711409325,1.0,0.134765625,nan,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.5566054999944754,0.0,2048,4740
