target,family,arm,ed2,heldout_sw1,heldout_projection_rmse,coverage,mass_l1,minority_particle_mass,minority_recovered,bridge_fraction,excess_bridge_fraction,diverged,wall_seconds,persistent_bytes,peak_working_bytes,target_table_rmse,training_projection_rmse
CF-F5-SPIRAL-04,curved-connected,exact-pooled-ceiling,0.0008396969242734365,0.014925396107834468,0.019171142035349212,nan,nan,nan,0.0,nan,nan,0.0,0.02779865000047721,309248.0,5240832.0,0.0,0.015267847118183315
CF-F5-SPIRAL-07,curved-connected,paper-tau1,0.009079336653580183,0.0575704397236116,0.07992250759220985,nan,nan,nan,0.0,nan,nan,0.0,0.08087389999127481,1024.0,2048.0,nan,nan
CF-F5-SPIRAL-07,curved-connected,historical-online-psqt,0.0017908379344422354,0.029636348331431337,0.037859532327522524,nan,nan,nan,0.0,nan,nan,0.0,0.1058991000027163,18440.0,34824.0,0.024184857185306323,0.014428567348377063
CF-F5-SPIRAL-07,curved-connected,pooled-rank-kll128,0.0007368014277832624,0.016188203784499193,0.021690224527636415,nan,nan,nan,0.0,nan,nan,0.0,0.028028400003677234,48000.0,72576.0,0.00856513123546063,0.018093639302881326
CF-F5-SPIRAL-07,curved-connected,pooled-rank-reservoir1024,0.0013961939360949693,0.021151522901854763,0.028163197374813417,nan,nan,nan,0.0,nan,nan,0.0,0.030860700004268438,18448.0,296976.0,0.022942115342804076,0.016738548936568207
CF-F5-SPIRAL-07,curved-connected,exact-pooled-ceiling,0.0006998373553701587,0.016011430986677455,0.021520042213157675,nan,nan,nan,0.0,nan,nan,0.0,0.02836465000291355,309248.0,5240832.0,0.0,0.01594807306059898
CF-F6-MULTICURVE-00,multiple-curves,paper-tau1,0.006889185570872647,0.05106639693878576,0.06918098384501904,nan,nan,nan,0.0,nan,nan,0.0,0.08161999999720138,1024.0,2048.0,nan,nan
CF-F6-MULTICURVE-00,multiple-curves,historical-online-psqt,0.0020506472090492944,0.03376527574818801,0.04448753126401914,nan,nan,nan,0.0,nan,nan,0.0,0.10607969999546185,18440.0,34824.0,0.029835839824250247,0.019068950497098384
CF-F6-MULTICURVE-00,multiple-curves,pooled-rank-kll128,0.0010464991389187994,0.01899759554867833,0.025453036552212215,nan,nan,nan,0.0,nan,nan,0.0,0.029028599994489923,48000.0,72576.0,0.010975152491726151,0.024941750364633787
CF-F6-MULTICURVE-00,multiple-curves,pooled-rank-reservoir1024,0.0017476343789511462,0.024997875286433498,0.03290658588297904,nan,nan,nan,0.0,nan,nan,0.0,0.03091755000059493,18448.0,296976.0,0.021100172512563534,0.022100403699443764
CF-F6-MULTICURVE-00,multiple-curves,exact-pooled-ceiling,0.0009925437643668045,0.01896358128042944,0.025547606141942535,nan,nan,nan,0.0,nan,nan,0.0,0.028072450004401617,309248.0,5240832.0,0.0,0.022208051476762657
CF-F6-MULTICURVE-01,multiple-curves,paper-tau1,0.008090262478956056,0.061212900974253796,0.08980419579394824,nan,nan,nan,0.0,nan,nan,0.0,0.0838106000010157,1024.0,2048.0,nan,nan
CF-F6-MULTICURVE-01,multiple-curves,historical-online-psqt,0.0021448602753952883,0.03635550739582373,0.04563757697272389,nan,nan,nan,0.0,nan,nan,0.0,0.1067530500004068,18440.0,34824.0,0.031155547933452633,0.020636118264317375
CF-F6-MULTICURVE-01,multiple-curves,pooled-rank-kll128,0.0011127439129112737,0.021238113942136125,0.02818855528594163,nan,nan,nan,0.0,nan,nan,0.0,0.028431149999960326,48000.0,72576.0,0.010837244309720436,0.024866706768672406
CF-F6-MULTICURVE-01,multiple-curves,pooled-rank-reservoir1024,0.0025056755408691123,0.03413950347200907,0.04535057758909308,nan,nan,nan,0.0,nan,nan,0.0,0.032799200009321794,18448.0,296976.0,0.03402233523771085,0.022730467566637522
