arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d4-correlated-t,correlated-t,4,0,concentrated,0.016,0.5,0.25,32,64,64,10,10,1.6114097194634855,2.4822985437445357,0.006572419173047628,0.060251941846152075,0.11160344219642054,0.9393256902694702,1.8640608671452417,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,341785966,16,8,0,68608,0,0.14729040000383975,0.0,0.0,0.0,0.20652107410132886
cta-kll-global,NPR-d4-correlated-t,correlated-t,4,0,concentrated,0.016,0.5,0.25,32,64,64,10,10,1.6114097194634855,2.4822985437445357,0.007055942773354751,0.059765285079430346,0.10788613339162362,0.9392606019973755,1.9133815837892025,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,341785966,16,8,0,68608,98048,0.14349390000279527,0.0,0.0,0.0,0.20885543674230575
cta-exact-hybrid,NPR-d4-correlated-t,correlated-t,4,0,concentrated,0.016,0.5,0.25,32,64,64,10,10,1.6114097194634855,2.4822985437445357,0.008541417919160743,0.07013332617126972,0.11390496532380753,0.9622026681900024,1.7608811336171704,nan,nan,nan,160,10240,20480,320,20480,30720,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,341785966,16,8,10485760,68608,0,0.2124614999993355,0.25,0.25,9.065617977086886,0.228491685166955
cta-kll-hybrid,NPR-d4-correlated-t,correlated-t,4,0,concentrated,0.016,0.5,0.25,32,64,64,10,10,1.6114097194634855,2.4822985437445357,0.007126565152608677,0.06261382129321426,0.10721916293106488,0.9440575838088989,1.8300598936116665,nan,nan,nan,160,10240,20480,320,20480,30720,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,341785966,16,8,10485760,68608,98048,0.20808279999619117,0.25,0.25,9.225634782032007,0.23268005959689617
cta-kll-guarded,NPR-d4-correlated-t,correlated-t,4,0,concentrated,0.016,0.5,0.25,32,64,64,10,10,1.6114097194634855,2.4822985437445357,0.007206330405224115,0.06367041912241628,0.10773544214514841,0.9516942501068115,1.8224074307463753,nan,nan,nan,160,10240,20480,320,20480,30720,3604480,1310720,2293760,5898240.0,0.0,5898240.0,64,32,32,32.0,10,10,341785966,16,8,10485760,68608,98048,0.2638625999970827,0.215,0.0,9.130578578071745,0.23068550266325474
cta-exact-global,NPR-d4-nonlinear,nonlinear,4,0,concentrated,0.016,0.5,0.25,32,64,64,10,10,1.624482796269459,2.4623221675143587,0.016649773565205805,0.1039619612150716,0.1742052033181928,0.9167745113372803,3.013233590016643,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,7042142,16,8,0,68608,0,0.16374609999911627,0.0,0.0,0.0,0.22505068890750407
cta-kll-global,NPR-d4-nonlinear,nonlinear,4,0,concentrated,0.016,0.5,0.25,32,64,64,10,10,1.624482796269459,2.4623221675143587,0.021679808951504675,0.10793150733484572,0.1562474789991912,0.95856773853302,2.949177764901427,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,7042142,16,8,0,68608,98048,0.14388809999945806,0.0,0.0,0.0,0.22188277952373028
cta-exact-hybrid,NPR-d4-nonlinear,nonlinear,4,0,concentrated,0.016,0.5,0.25,32,64,64,10,10,1.624482796269459,2.4623221675143587,0.007452746329867921,0.06151467265113081,0.1303373332057739,0.9395459294319153,2.9659937300687393,nan,nan,nan,160,10240,20480,320,20480,30720,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,7042142,16,8,10485760,68608,0,0.21067799999582348,0.25,0.25,4.588911493055708,0.24629736095666885
cta-kll-hybrid,NPR-d4-nonlinear,nonlinear,4,0,concentrated,0.016,0.5,0.25,32,64,64,10,10,1.624482796269459,2.4623221675143587,0.01092092453254967,0.07589949195215316,0.12029414616899167,0.9958353638648987,2.863654465949819,nan,nan,nan,160,10240,20480,320,20480,30720,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,7042142,16,8,10485760,68608,98048,0.2162051999985124,0.25,0.25,4.456556051327256,0.24088226221501827
cta-kll-guarded,NPR-d4-nonlinear,nonlinear,4,0,concentrated,0.016,0.5,0.25,32,64,64,10,10,1.624482796269459,2.4623221675143587,0.013858356025372665,0.0881005676479183,0.14279883467433865,0.95400470495224,2.9261122213057256,nan,nan,nan,160,10240,20480,320,20480,30720,3604480,1310720,2293760,5898240.0,0.0,5898240.0,64,32,32,32.0,10,10,7042142,16,8,10485760,68608,98048,0.2617365999976755,0.225,0.0,4.172909123087918,0.24345119744539262
