arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_representative_audit_calls,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.5815699660346505,1.5794342434011945,0.009139235522682476,0.07746346288149097,0.11367663067173754,0.9257023334503174,1.1261228590247296,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1889403943,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67584,0,0.1495368000032613,0.0,0.0,0.0,0.0,0.169986866787076
cta-kll-global,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.5815699660346505,1.5794342434011945,0.00887724854476346,0.08533918241265781,0.11238503525676201,0.9650055766105652,1.1046632760440802,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1889403943,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67584,98048,0.14546379999956116,0.0,0.0,0.0,0.0,0.18079319298267366
cta-exact-hybrid,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.5815699660346505,1.5794342434011945,0.009005176792464376,0.07375911247864897,0.1094145424900195,0.9115650057792664,1.110021158963551,nan,nan,nan,160,10240,20480,320,20480,30720,1761280,1310720,450560,22519877.592530765,18772037.592530765,3747840.0,64,32,32,32.0,10,10,1889403943,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.3232552774250507,9.557611465454102,0.16663665438536554,1.4052585363388062,67584,0,0.18973139999434352,0.25,0.25,0.25,8.353439662249212,0.19956615902483463
cta-kll-hybrid,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.5815699660346505,1.5794342434011945,0.008914716293078051,0.07966374548035539,0.10592504549913913,0.9456795454025269,1.100456276423175,nan,nan,nan,160,10240,20480,320,20480,30720,1761280,1310720,450560,3747840.0,0.0,3747840.0,64,32,32,32.0,10,10,1889403943,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.3232552774250507,9.557611465454102,0.16866564529482275,1.3698867559432983,67584,98048,0.18633600000612205,0.25,0.25,0.25,8.775705614370304,0.21095502823591233
cta-kll-guarded,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.5815699660346505,1.5794342434011945,0.008914716293078051,0.07966374548035539,0.10592504549913913,0.9456795454025269,1.100456276423175,nan,nan,nan,160,10240,20480,320,20480,30720,3727360,1310720,2416640,6696960.0,0.0,6696960.0,64,32,32,32.0,10,10,1889403943,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.3232552774250507,9.557611465454102,0.16866564529482275,1.3698867559432983,67584,98048,0.2383817000009003,0.25,0.25,0.25,8.775705614370304,0.21095502823591233
cta-exact-global,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.9108119718572762,1.4464654118377098,0.0033142453406127537,0.05187413275565301,0.10062812797943306,1.0166021585464478,1.9328837444950377,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,3387850064,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67584,0,0.14076890000433195,0.0,0.0,0.0,0.0,0.16002833917737008
cta-kll-global,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.9108119718572762,1.4464654118377098,0.0057928352693901175,0.06258525142614164,0.10217765780341291,1.0294370651245117,1.9404511849820112,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,3387850064,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67584,98048,0.14425369999662507,0.0,0.0,0.0,0.0,0.1607476333156228
cta-exact-hybrid,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.9108119718572762,1.4464654118377098,0.0043613272348626,0.05308293613699236,0.09507615253963428,1.0201777219772339,1.9375214352865142,nan,nan,nan,160,10240,20480,320,20480,30720,1761280,1310720,450560,22519877.592530765,18772037.592530765,3747840.0,64,32,32,32.0,10,10,3387850064,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.3708886757493019,6.805947780609131,0.2564201807253994,3.1256096363067627,67584,0,0.1873736000052304,0.25,0.25,0.25,5.5045035732723795,0.18006232753396034
cta-kll-hybrid,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.9108119718572762,1.4464654118377098,0.006765228797384726,0.06233865840149372,0.10179317937963883,1.0327932834625244,1.9506806740184517,nan,nan,nan,160,10240,20480,320,20480,30720,1761280,1310720,450560,3747840.0,0.0,3747840.0,64,32,32,32.0,10,10,3387850064,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.3708886757493019,6.805947780609131,0.2542357088648714,3.083005428314209,67584,98048,0.2149578999960795,0.25,0.25,0.25,5.547704145847267,0.1816173003986478
cta-kll-guarded,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.9108119718572762,1.4464654118377098,0.007004357296537034,0.07834578815390289,0.12221337329448355,1.0491801500320435,1.9006273500371116,nan,nan,nan,160,10240,20480,320,20480,30720,3727360,1310720,2416640,6696960.0,0.0,6696960.0,64,32,32,32.0,10,10,3387850064,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.3708886757493019,6.805947780609131,0.2588949070894159,3.277994394302368,67584,98048,0.24234939999587368,0.2375,0.0,0.2375,5.028269158266051,0.18579183463007212
