stream,order,repeat,implementation,chunks,merged,n,retained_items,serialized_bytes,max_rank_error,mean_rank_error,quantile_rmse,monotone,observed_support,serialized_replay
gaussian,alternating-extremes,11,local-fixed-capacity,1,0,19200,75,300,0.010104166666666664,0.004261881510416669,0.05184338241815567,1,1,1
gaussian,alternating-extremes,-1,apache,17,0,19200,344,1436,0.00666666666666671,0.0018603515624999976,0.01659439317882061,1,1,1
gaussian,alternating-extremes,-2,apache,17,1,19200,353,1468,0.004010416666666683,0.0012825520833333272,0.013210865668952465,1,1,1
student-t3,shuffled,0,apache,1,0,19200,344,1436,0.010000000000000009,0.0030818684895833302,0.08438170701265335,1,1,1
student-t3,shuffled,0,local-fixed-capacity,1,0,19200,75,300,0.0111458333333333,0.004900716145833334,0.33608248829841614,1,1,1
student-t3,shuffled,1,apache,1,0,19200,344,1436,0.010208333333333347,0.0035571289062499996,0.07409179955720901,1,1,1
student-t3,shuffled,1,local-fixed-capacity,1,0,19200,75,300,0.009479166666666705,0.003956705729166668,0.1929880976676941,1,1,1
student-t3,shuffled,2,apache,1,0,19200,344,1436,0.013281250000000022,0.0031217447916666707,0.08614382147789001,1,1,1
student-t3,shuffled,2,local-fixed-capacity,1,0,19200,75,300,0.01286458333333329,0.006310221354166668,1.318359136581421,1,1,1
student-t3,shuffled,3,apache,1,0,19200,344,1436,0.008177083333333335,0.002579752604166665,0.06198132038116455,1,1,1
student-t3,shuffled,3,local-fixed-capacity,1,0,19200,75,300,0.01286458333333329,0.006310221354166668,1.318359136581421,1,1,1
student-t3,shuffled,4,apache,1,0,19200,344,1436,0.012864583333333346,0.004962565104166665,0.18361231684684753,1,1,1
student-t3,shuffled,4,local-fixed-capacity,1,0,19200,75,300,0.007604166666666634,0.0033927408854166692,0.09218911081552505,1,1,1
student-t3,shuffled,5,apache,1,0,19200,344,1436,0.007343749999999982,0.0026074218749999956,0.07664313912391663,1,1,1
student-t3,shuffled,5,local-fixed-capacity,1,0,19200,75,300,0.01244791666666667,0.005927734374999999,0.7349542379379272,1,1,1
student-t3,shuffled,6,apache,1,0,19200,344,1436,0.00645833333333333,0.001992187499999998,0.07843752950429916,1,1,1
student-t3,shuffled,6,local-fixed-capacity,1,0,19200,75,300,0.010677083333333337,0.004593098958333333,0.4236815571784973,1,1,1
student-t3,shuffled,7,apache,1,0,19200,344,1436,0.006145833333333295,0.0020475260416666636,0.1827215552330017,1,1,1
student-t3,shuffled,7,local-fixed-capacity,1,0,19200,75,300,0.007187500000000013,0.0033390299479166695,0.07975834608078003,1,1,1
student-t3,shuffled,8,apache,1,0,19200,344,1436,0.007031250000000044,0.0023486328124999976,0.07782146334648132,1,1,1
student-t3,shuffled,8,local-fixed-capacity,1,0,19200,75,300,0.010833333333333334,0.004691569010416669,0.4503069818019867,1,1,1
student-t3,shuffled,9,apache,1,0,19200,344,1436,0.009895833333333326,0.0028653971354166636,0.07627108693122864,1,1,1
student-t3,shuffled,9,local-fixed-capacity,1,0,19200,75,300,0.009947916666666612,0.004179687499999999,0.21101164817810059,1,1,1
student-t3,shuffled,10,apache,1,0,19200,344,1436,0.00854166666666667,0.0025366210937499993,0.11978702247142792,1,1,1
student-t3,shuffled,10,local-fixed-capacity,1,0,19200,75,300,0.00828124999999999,0.003535156250000001,0.1444665640592575,1,1,1
student-t3,shuffled,11,apache,1,0,19200,344,1436,0.00708333333333333,0.00255208333333334,0.12908750772476196,1,1,1
