arm,kind,tau,target,family,init,cell,seed,budget,virtual_batch,warm_fraction,pulse_period,noise_mix,planned_steps,completed_steps,wall_seconds,generator_forward_calls,generator_example_evals,unique_latent_samples,target_samples,kernel_pairs,sort_work,selector_calls,selector_kernel_pairs,selector_example_evals,tau_counts,ed2,sw1,weighted_reach,mass_l1,event_time,censored,diverged
paper-0.2,paper,0.2,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,0,update,0,0.0,0,0.0,400,400,0.6657156000001123,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.0213053085394046,0.14993552908655305,1.0,0.0909375,100,0,0
paper-0.2,paper,0.2,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,1,update,0,0.0,0,0.0,400,400,0.832058899992262,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.02161325667545766,0.16689334267170228,1.0,0.0867578125,100,0,0
paper-0.2,paper,0.2,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,2,update,0,0.0,0,0.0,400,400,0.7862418000004254,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.015347944644719336,0.16918358912683618,1.0,0.0760546875,100,0,0
paper-0.5,paper,0.5,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,0,update,0,0.0,0,0.0,400,400,0.784494600011385,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.021286563840472006,0.159203623451508,1.0,0.06890625,100,0,0
paper-0.5,paper,0.5,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,1,update,0,0.0,0,0.0,400,400,0.7840929000085453,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.021510582012495227,0.15442500836626158,1.0,0.104609375,100,0,0
paper-0.5,paper,0.5,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,2,update,0,0.0,0,0.0,400,400,0.7386966000049142,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.015018158678531845,0.14125246507316874,1.0,0.06085937499999999,100,0,0
paper-1,paper,1.0,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,0,update,0,0.0,0,0.0,400,400,0.8814682000083849,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.02362799290929729,0.15594146941865486,1.0,0.11976562499999999,150,0,0
paper-1,paper,1.0,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,1,update,0,0.0,0,0.0,400,400,0.685880700009875,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.022591253062664407,0.1634037120107165,1.0,0.108984375,100,0,0
paper-1,paper,1.0,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,2,update,0,0.0,0,0.0,400,400,0.7639946999988751,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.013929365592762588,0.1509437279036196,1.0,0.101875,100,0,0
paper-2,paper,2.0,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,0,update,0,0.0,0,0.0,400,400,0.6158086999930674,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.02809043372425113,0.17383900795393642,1.0,0.17515624999999999,150,0,0
paper-2,paper,2.0,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,1,update,0,0.0,0,0.0,400,400,0.8104298999969615,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.025036642272212806,0.17470132825288462,1.0,0.15765625,150,0,0
paper-2,paper,2.0,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,2,update,0,0.0,0,0.0,400,400,0.6195035999990068,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.018894039818777353,0.18159712266850545,1.0,0.14191406250000002,100,0,0
paper-4,paper,4.0,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,0,update,0,0.0,0,0.0,400,400,0.7218097000004491,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.07531297180913898,0.3580063806415123,0.91,0.501484375,300,0,0
paper-4,paper,4.0,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,1,update,0,0.0,0,0.0,400,400,0.7845230999955675,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.05526832315328334,0.2883658175485353,0.91,0.39675781250000003,250,0,0
paper-4,paper,4.0,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,2,update,0,0.0,0,0.0,400,400,0.8093651000090176,400,51200,51200,51200,13107200,0.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.04657996088173477,0.28513529384299097,0.91,0.40066406250000003,150,0,0
qld-v1,qld,0.5,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,0,update,0,0.7,0,0.0,400,400,0.36186049999378156,400,51200,51200,51200,3932160,501760.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.024983469263369917,0.1516477509745107,1.0,0.084296875,100,0,0
qld-v1,qld,0.5,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,1,update,0,0.7,0,0.0,400,400,0.34600659999705385,400,51200,51200,51200,3932160,501760.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.022571213554384517,0.15369640608985854,1.0,0.09046874999999999,100,0,0
qld-v1,qld,0.5,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,2,update,0,0.7,0,0.0,400,400,0.3588229000015417,400,51200,51200,51200,3932160,501760.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.01775071534374395,0.17100047522228454,1.0,0.08890624999999999,100,0,0
rsr-M1024-f0.70-u,rsr,0.5,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,0,update,1024,0.7,0,0.0,400,400,1.1195571000134805,4600,588800,302080,302080,3932160,5734400.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.019289889363687474,0.14624785604924515,1.0,0.07796875,100,0,0
rsr-M1024-f0.70-u,rsr,0.5,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,1,update,1024,0.7,0,0.0,400,400,1.2015808999858564,4600,588800,302080,302080,3932160,5734400.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.018409100831193292,0.14632152440243784,1.0,0.06507812499999999,100,0,0
rsr-M1024-f0.70-u,rsr,0.5,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,2,update,1024,0.7,0,0.0,400,400,1.190664800000377,4600,588800,302080,302080,3932160,5734400.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.012626465364279804,0.15203465030352062,1.0,0.09769531249999999,100,0,0
nrsr-M1024-f0.70-l0.25-u,nrsr,0.5,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,0,update,1024,0.7,0,0.25,400,400,1.4983944000123302,4600,588800,302080,302080,3932160,5734400.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.00802719011888442,0.1087824075121153,1.0,0.0642578125,50,0,0
nrsr-M1024-f0.70-l0.25-u,nrsr,0.5,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,1,update,1024,0.7,0,0.25,400,400,1.6029108999937307,4600,588800,302080,302080,3932160,5734400.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.008470558297088315,0.11444053920950632,1.0,0.0848828125,50,0,0
